Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0.0,Thu Jun 28 18:02:05 +0000 2018,1.0,0.0,0.0,1,@BBC
0.4696,Thu Jun 28 16:13:35 +0000 2018,0.861,0.0,0.139,2,@BBC
-0.128,Thu Jun 28 16:00:25 +0000 2018,0.753,0.133,0.115,3,@BBC
0.0,Thu Jun 28 15:52:28 +0000 2018,1.0,0.0,0.0,4,@BBC
0.4963,Thu Jun 28 15:22:37 +0000 2018,0.761,0.052,0.188,5,@BBC
0.6369,Thu Jun 28 13:00:23 +0000 2018,0.676,0.09,0.234,6,@BBC
0.4389,Thu Jun 28 12:02:08 +0000 2018,0.838,0.0,0.162,7,@BBC
-0.3818,Thu Jun 28 11:47:05 +0000 2018,0.885,0.115,0.0,8,@BBC
0.0,Thu Jun 28 11:16:03 +0000 2018,1.0,0.0,0.0,9,@BBC
0.1531,Thu Jun 28 10:12:00 +0000 2018,0.833,0.0,0.167,10,@BBC
0.0,Thu Jun 28 08:01:07 +0000 2018,1.0,0.0,0.0,11,@BBC
-0.5994,Thu Jun 28 07:25:04 +0000 2018,0.83,0.17,0.0,12,@BBC
0.5106,Thu Jun 28 07:01:02 +0000 2018,0.777,0.0,0.223,13,@BBC
-0.7351,Wed Jun 27 20:01:05 +0000 2018,0.733,0.267,0.0,14,@BBC
0.4404,Wed Jun 27 19:02:01 +0000 2018,0.637,0.121,0.242,15,@BBC
0.0,Wed Jun 27 18:00:25 +0000 2018,1.0,0.0,0.0,16,@BBC
-0.4215,Wed Jun 27 16:04:05 +0000 2018,0.741,0.259,0.0,17,@BBC
0.0,Wed Jun 27 15:09:27 +0000 2018,1.0,0.0,0.0,18,@BBC
0.0,Wed Jun 27 14:42:13 +0000 2018,1.0,0.0,0.0,19,@BBC
0.0,Wed Jun 27 13:05:07 +0000 2018,1.0,0.0,0.0,20,@BBC
-0.5106,Wed Jun 27 11:52:00 +0000 2018,0.65,0.35,0.0,21,@BBC
0.9403,Wed Jun 27 11:39:52 +0000 2018,0.536,0.0,0.464,22,@BBC
0.0,Wed Jun 27 11:03:04 +0000 2018,1.0,0.0,0.0,23,@BBC
0.0,Wed Jun 27 09:30:20 +0000 2018,1.0,0.0,0.0,24,@BBC
0.6114,Wed Jun 27 08:47:40 +0000 2018,0.756,0.05,0.194,25,@BBC
0.0,Wed Jun 27 08:01:05 +0000 2018,1.0,0.0,0.0,26,@BBC
0.5106,Wed Jun 27 07:29:04 +0000 2018,0.809,0.047,0.145,27,@BBC
0.4939,Wed Jun 27 07:01:05 +0000 2018,0.856,0.0,0.144,28,@BBC
0.0,Tue Jun 26 21:20:15 +0000 2018,1.0,0.0,0.0,29,@BBC
0.0,Tue Jun 26 19:05:08 +0000 2018,1.0,0.0,0.0,30,@BBC
0.296,Tue Jun 26 18:03:06 +0000 2018,0.792,0.074,0.134,31,@BBC
0.0,Tue Jun 26 17:02:02 +0000 2018,1.0,0.0,0.0,32,@BBC
0.0,Tue Jun 26 16:33:41 +0000 2018,1.0,0.0,0.0,33,@BBC
0.0,Tue Jun 26 16:00:15 +0000 2018,1.0,0.0,0.0,34,@BBC
0.0,Tue Jun 26 14:52:03 +0000 2018,1.0,0.0,0.0,35,@BBC
0.836,Tue Jun 26 14:32:33 +0000 2018,0.683,0.0,0.317,36,@BBC
0.6114,Tue Jun 26 13:12:16 +0000 2018,0.818,0.0,0.182,37,@BBC
0.0,Tue Jun 26 12:58:04 +0000 2018,1.0,0.0,0.0,38,@BBC
0.5267,Tue Jun 26 12:02:04 +0000 2018,0.673,0.0,0.327,39,@BBC
0.0,Tue Jun 26 11:02:03 +0000 2018,1.0,0.0,0.0,40,@BBC
0.0,Tue Jun 26 09:30:00 +0000 2018,1.0,0.0,0.0,41,@BBC
-0.2732,Tue Jun 26 08:00:16 +0000 2018,0.861,0.139,0.0,42,@BBC
-0.7717,Tue Jun 26 07:26:08 +0000 2018,0.705,0.295,0.0,43,@BBC
0.5994,Tue Jun 26 07:00:12 +0000 2018,0.769,0.0,0.231,44,@BBC
0.5859,Mon Jun 25 18:03:04 +0000 2018,0.696,0.0,0.304,45,@BBC
0.0,Mon Jun 25 17:31:08 +0000 2018,1.0,0.0,0.0,46,@BBC
0.2732,Mon Jun 25 16:02:03 +0000 2018,0.769,0.0,0.231,47,@BBC
-0.5524,Mon Jun 25 15:01:34 +0000 2018,0.771,0.229,0.0,48,@BBC
0.3182,Mon Jun 25 14:57:32 +0000 2018,0.839,0.0,0.161,49,@BBC
0.5423,Mon Jun 25 13:48:41 +0000 2018,0.842,0.0,0.158,50,@BBC
0.636,Mon Jun 25 13:03:07 +0000 2018,0.656,0.0,0.344,51,@BBC
0.5719,Mon Jun 25 12:04:05 +0000 2018,0.802,0.0,0.198,52,@BBC
0.34,Mon Jun 25 11:01:03 +0000 2018,0.741,0.104,0.156,53,@BBC
0.0,Mon Jun 25 10:12:49 +0000 2018,1.0,0.0,0.0,54,@BBC
-0.4215,Mon Jun 25 08:03:05 +0000 2018,0.872,0.128,0.0,55,@BBC
0.0,Mon Jun 25 07:26:06 +0000 2018,1.0,0.0,0.0,56,@BBC
-0.6486,Mon Jun 25 07:00:13 +0000 2018,0.699,0.301,0.0,57,@BBC
0.0,Sun Jun 24 19:03:02 +0000 2018,1.0,0.0,0.0,58,@BBC
-0.5574,Sun Jun 24 18:32:03 +0000 2018,0.847,0.153,0.0,59,@BBC
0.5994,Sun Jun 24 18:10:27 +0000 2018,0.755,0.0,0.245,60,@BBC
-0.5267,Sun Jun 24 18:04:04 +0000 2018,0.805,0.195,0.0,61,@BBC
0.6705,Sun Jun 24 17:08:05 +0000 2018,0.658,0.078,0.263,62,@BBC
0.0,Sun Jun 24 16:02:06 +0000 2018,0.787,0.106,0.106,63,@BBC
0.0,Sun Jun 24 15:18:03 +0000 2018,1.0,0.0,0.0,64,@BBC
0.5859,Sun Jun 24 14:29:47 +0000 2018,0.888,0.0,0.112,65,@BBC
0.0,Sun Jun 24 14:20:08 +0000 2018,1.0,0.0,0.0,66,@BBC
-0.4215,Sun Jun 24 13:03:02 +0000 2018,0.865,0.135,0.0,67,@BBC
0.0,Sun Jun 24 12:02:03 +0000 2018,1.0,0.0,0.0,68,@BBC
0.8268,Sun Jun 24 11:04:03 +0000 2018,0.688,0.0,0.312,69,@BBC
0.2942,Sun Jun 24 10:52:39 +0000 2018,0.897,0.0,0.103,70,@BBC
0.3612,Sun Jun 24 10:03:02 +0000 2018,0.783,0.0,0.217,71,@BBC
0.6269,Sun Jun 24 09:33:12 +0000 2018,0.745,0.0,0.255,72,@BBC
0.34,Sun Jun 24 09:04:05 +0000 2018,0.882,0.0,0.118,73,@BBC
0.0,Sun Jun 24 08:37:50 +0000 2018,1.0,0.0,0.0,74,@BBC
0.0,Sun Jun 24 08:20:08 +0000 2018,1.0,0.0,0.0,75,@BBC
0.3182,Sun Jun 24 07:01:05 +0000 2018,0.413,0.24,0.347,76,@BBC
0.0,Sat Jun 23 20:12:00 +0000 2018,1.0,0.0,0.0,77,@BBC
0.0,Sat Jun 23 19:02:02 +0000 2018,1.0,0.0,0.0,78,@BBC
0.5719,Sat Jun 23 17:06:01 +0000 2018,0.821,0.0,0.179,79,@BBC
0.7412,Sat Jun 23 16:02:02 +0000 2018,0.614,0.0,0.386,80,@BBC
0.4019,Sat Jun 23 15:00:27 +0000 2018,0.847,0.0,0.153,81,@BBC
0.0,Sat Jun 23 14:02:01 +0000 2018,1.0,0.0,0.0,82,@BBC
0.0,Sat Jun 23 12:57:05 +0000 2018,1.0,0.0,0.0,83,@BBC
0.0,Sat Jun 23 12:00:16 +0000 2018,1.0,0.0,0.0,84,@BBC
0.0,Sat Jun 23 11:01:06 +0000 2018,1.0,0.0,0.0,85,@BBC
0.0,Sat Jun 23 10:02:04 +0000 2018,0.675,0.143,0.183,86,@BBC
0.0,Sat Jun 23 09:01:05 +0000 2018,1.0,0.0,0.0,87,@BBC
0.2732,Sat Jun 23 07:59:02 +0000 2018,0.86,0.0,0.14,88,@BBC
0.0,Sat Jun 23 07:22:00 +0000 2018,1.0,0.0,0.0,89,@BBC
0.6369,Fri Jun 22 19:11:28 +0000 2018,0.741,0.0,0.259,90,@BBC
0.25,Fri Jun 22 19:11:15 +0000 2018,0.913,0.0,0.087,91,@BBC
0.0,Fri Jun 22 19:10:41 +0000 2018,1.0,0.0,0.0,92,@BBC
0.7518,Fri Jun 22 19:10:14 +0000 2018,0.735,0.0,0.265,93,@BBC
0.3612,Fri Jun 22 19:09:53 +0000 2018,0.902,0.0,0.098,94,@BBC
0.4215,Fri Jun 22 19:04:06 +0000 2018,0.865,0.0,0.135,95,@BBC
-0.3182,Fri Jun 22 18:01:05 +0000 2018,0.85,0.15,0.0,96,@BBC
0.0,Fri Jun 22 17:00:21 +0000 2018,1.0,0.0,0.0,97,@BBC
0.0,Fri Jun 22 16:01:00 +0000 2018,1.0,0.0,0.0,98,@BBC
0.0,Fri Jun 22 13:02:03 +0000 2018,1.0,0.0,0.0,99,@BBC
0.0,Fri Jun 22 12:03:05 +0000 2018,1.0,0.0,0.0,100,@BBC
0.0,Wed Jun 27 20:31:32 +0000 2018,1.0,0.0,0.0,1,@CBS
0.7574,Wed Jun 27 14:00:01 +0000 2018,0.711,0.0,0.289,2,@CBS
0.5574,Mon Jun 25 18:20:25 +0000 2018,0.796,0.0,0.204,3,@CBS
0.1867,Fri Jun 22 21:19:06 +0000 2018,0.902,0.0,0.098,4,@CBS
0.4199,Fri Jun 22 18:33:53 +0000 2018,0.811,0.0,0.189,5,@CBS
0.4926,Thu Jun 21 23:29:50 +0000 2018,0.803,0.0,0.197,6,@CBS
0.3555,Wed Jun 20 00:39:01 +0000 2018,0.68,0.122,0.199,7,@CBS
0.0,Mon Jun 18 20:27:50 +0000 2018,1.0,0.0,0.0,8,@CBS
0.0,Mon Jun 18 15:00:46 +0000 2018,1.0,0.0,0.0,9,@CBS
0.9392,Sun Jun 17 13:00:01 +0000 2018,0.507,0.0,0.493,10,@CBS
0.3595,Fri Jun 15 18:48:29 +0000 2018,0.872,0.0,0.128,11,@CBS
-0.296,Thu Jun 14 17:30:00 +0000 2018,0.833,0.167,0.0,12,@CBS
0.1779,Thu Jun 14 16:19:32 +0000 2018,0.734,0.12,0.147,13,@CBS
-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.551,0.315,0.134,14,@CBS
0.5093,Mon Jun 11 22:23:06 +0000 2018,0.829,0.0,0.171,15,@CBS
-0.296,Mon Jun 11 19:01:38 +0000 2018,0.833,0.167,0.0,16,@CBS
0.0,Mon Jun 11 14:00:37 +0000 2018,1.0,0.0,0.0,17,@CBS
0.0,Mon Jun 11 06:19:36 +0000 2018,1.0,0.0,0.0,18,@CBS
